Марка;Цена;Краткая характеристика
Ноутбук MSI GL65 9SDK (GL659SDK-025) Black;34 177 грн;"Экран 15.6"" Full HD (1920x1080) 120 Hz, IPS | Intel Core i7-9750H (2.6 - 4.5 GHz), 6 Ядер | ОЗУ 16 Gb (2 слота DDR4 max 64 Gb) | Накопитель SSD 512 Gb | nVidia GeForce GTX 1660 Ti 6 Gb GDDR6 | без DVD | USB 3.1 Type-C | Клавиатура с per-Key RGB подсв"
Ноутбук MSI GF63 Thin 9SC (GF639SC-699XRO) Black;22 577 грн;"Экран 15.6"" Full HD (1920x1080) IPS | Intel Core i5-9300H (2.4 - 4.1 GHz), 4 Ядра | ОЗУ 8 Gb (2 слота DDR4 max 64 Gb) | Накопитель SSD 256 Gb | nVidia GeForce GTX 1650 Max-Q 4 Gb GDDR5 | без DVD | USB 3.1 Type-C | Клавиатура с красной подсветкой | Вр"
Ноутбук MSI Modern 14 A10RB (A10RB-805XUA) Silver;27 649 грн;"Экран 14"" Full HD (1920x1080) IPS | Intel Core i7-10510U (1.8 - 4.9 GHz), 4 Ядра | ОЗУ 8 Gb (DDR4 max 32 Gb) | Накопитель SSD 512 Gb | nVidia GeForce MX250 2 Gb GDDR5 | без DVD | USB 3.1 Type-C | Клавиатура с белой подсветкой | Аудиосистема Nahimic 3"
Ноутбук MSI GP75 Leopard 9SE (GP759SE-1255XUA) Black;53 249 грн;"Экран 17.3"" Full HD (1920x1080) 144 Hz, IPS | Intel Core i7-9750H (2.6 - 4.5 GHz), 6 Ядер | ОЗУ 16 Gb (2 слота DDR4 max 64 Gb) | Накопитель HDD 1000 Gb + SSD 256 Gb | nVidia GeForce RTX 2060 6 Gb GDDR6 | без DVD | USB 3.1 Type-C | Клавиатура с per-Ke"
Ноутбук MSI GP65 Leopard 9SE (GP659SE-427XUA) Black;49 999 грн;"Экран 15.6"" Full HD (1920x1080) 144 Hz, IPS | Intel Core i7-9750H (2.6 - 4.5 GHz), 6 Ядер | ОЗУ 16 Gb (2 слота DDR4 max 64 Gb) | Накопитель HDD 1000 Gb + SSD 256 Gb | nVidia GeForce RTX 2060 6 Gb GDDR6 | без DVD | USB 3.1 Type-C | Клавиатура с per-Ke"
Ноутбук MSI GL75 9SE (GL759SE-250XUA) Black;42 499 грн;"Экран 17.3"" Full HD (1920x1080) IPS | Intel Core i5-9300H (2.4 - 4.1 GHz), 4 Ядра | ОЗУ 16 Gb (2 слота DDR4 max 64 Gb) | Накопитель SSD 512 Gb | nVidia GeForce RTX 2060 6 Gb GDDR6 | без DVD | USB 3.1 Type-C | Клавиатура с красной подсветкой | Аудиоси"
Ноутбук MSI GL63 8SE (GL638SE-1011XUA) Black;45 399 грн;"Экран 15.6"" Full HD (1920x1080) IPS | Intel Core i7-8750H (2.2 - 4.1 GHz), 6 Ядер | ОЗУ 16 Gb (2 слота DDR4 max 32 Gb) | Накопитель HDD 1000 Gb + SSD 256 Gb | nVidia GeForce RTX 2060 6 Gb GDDR6 | без DVD | USB 3.1 Type-C | Клавиатура с красной подсве"
Ноутбук MSI GL63 8SD (GL638SD-656XUA) Black;33 999 грн;"Экран 15.6"" Full HD (1920x1080) IPS | Intel Core i5-8300H (2.3 - 4.0 GHz), 4 Ядра | ОЗУ 8 Gb (2 слота DDR4 max 32 Gb) | Накопитель HDD 1000 Gb + SSD 128 Gb | nVidia GeForce GTX 1660 Ti 6 Gb GDDR6 | без DVD | USB 3.1 Type-C | Клавиатура с красной подс"
Ноутбук MSI GL63 8SD (GL638SD-655XUA) Black;36 999 грн;"Экран 15.6"" Full HD (1920x1080) 120 Hz, IPS | Intel Core i7-8750H (2.2 - 4.1 GHz), 6 Ядер | ОЗУ 8 Gb (2 слота DDR4 max 32 Gb) | Накопитель HDD 1000 Gb + SSD 128 Gb | nVidia GeForce GTX 1660 Ti 6 Gb GDDR6 | без DVD | USB 3.1 Type-C | Клавиатура с крас"
Ноутбук MSI GF75 Thin 9SD (GF759SD-054XUA) Black;31 999 грн;"Экран 17.3"" Full HD (1920x1080) IPS | Intel Core i5-9300H (2.4 - 4.1 GHz), 4 Ядра | ОЗУ 8 Gb (2 слота DDR4 max 64 Gb) | Накопитель SSD 512 Gb | nVidia GeForce GTX 1660 Ti 6 Gb GDDR6 | без DVD | USB 3.1 Type-C | Клавиатура с красной подсветкой | Время"
Ноутбук MSI GF75 Thin 9SC (GF759SC-462XUA) Black;30 799 грн;"Экран 17.3"" Full HD (1920x1080) IPS | Intel Core i5-9300H (2.4 - 4.1 GHz), 4 Ядра | ОЗУ 8 Gb (2 слота DDR4 max 64 Gb) | Накопитель HDD 1000 Gb + SSD 256 Gb | nVidia GeForce GTX 1650 4 Gb GDDR5 | без DVD | USB 3.1 Type-C | Клавиатура с красной подсвет"
Ноутбук MSI GF63 Thin 9SC (GF639SC-1004XUA) Black;25 999 грн;"Экран 15.6"" Full HD (1920x1080) IPS | Intel Core i5-9300H (2.4 - 4.1 GHz), 4 Ядра | ОЗУ 8 Gb (2 слота DDR4 max 64 Gb) | Накопитель HDD 1000 Gb + SSD 128 Gb | nVidia GeForce GTX 1650 Max-Q 4 Gb GDDR5 | без DVD | USB 3.1 Type-C | Клавиатура с красной п"
Ноутбук MSI GF63 Thin 8RCS (GF638RCS-095XUA) Black;25 699 грн;"Экран 15.6"" Full HD (1920x1080) IPS | Intel Core i7-8750H (2.2 - 4.1 GHz), 6 Ядер | ОЗУ 8 Gb (2 слота DDR4 max 32 Gb) | Накопитель HDD 1000 Gb + SSD 128 Gb | nVidia GeForce GTX 1050 Max-Q 4 Gb GDDR5 | без DVD | USB 3.1 Type-C | Клавиатура с красной п"
Ноутбук MSI GE75 Raider 9SG (GE759SG-1251UA) Black;83 299 грн;"Экран 17.3"" Full HD (1920x1080) IPS | Intel Core i7-9750H (2.6 - 4.5 GHz), 6 Ядер | ОЗУ 16 Gb (2 слота DDR4 max 64 Gb) | Накопитель HDD 1000 Gb + SSD 1024 Gb | nVidia GeForce RTX 2080 8 Gb GDDR6 | без DVD | USB 3.1 Type-C | Клавиатура с RGB подсветко"
Ноутбук MSI GE75 Raider 9SF (GE759SF-1253UA) Black;74 499 грн;"Экран 17.3"" Full HD (1920x1080) IPS | Intel Core i7-9750H (2.6 - 4.5 GHz), 6 Ядер | ОЗУ 16 Gb (2 слота DDR4 max 64 Gb) | Накопитель HDD 1000 Gb + SSD 1024 Gb | nVidia GeForce RTX 2070 8 Gb GDDR6 | без DVD | USB 3.1 Type-C | Клавиатура с RGB подсветко"
Ноутбук MSI GE75 Raider 9SE (GE759SE-1254UA) Black;63 799 грн;"Экран 17.3"" Full HD (1920x1080) IPS | Intel Core i7-9750H (2.6 - 4.5 GHz), 6 Ядер | ОЗУ 16 Gb (2 слота DDR4 max 64 Gb) | Накопитель HDD 1000 Gb + SSD 1024 Gb | nVidia GeForce RTX 2060 6 Gb GDDR6 | без DVD | USB 3.1 Type-C | Клавиатура с RGB подсветко"
Ноутбук MSI GE65 Raider 9SF (GE659SF-425UA) Black;69 179 грн;"Экран 15.6"" Full HD (1920x1080) IPS | Intel Core i7-9750H (2.6 - 4.5 GHz), 6 Ядер | ОЗУ 16 Gb (2 слота DDR4 max 64 Gb) | Накопитель SSD 1024 Gb | nVidia GeForce RTX 2070 8 Gb GDDR6 | без DVD | USB 3.1 Type-C | Клавиатура с RGB подсветкой каждой клави"
Ноутбук MSI GE65 Raider 9SE (GE659SE-426UA) Black;57 449 грн;"Экран 15.6"" Full HD (1920x1080) IPS | Intel Core i7-9750H (2.6 - 4.5 GHz), 6 Ядер | ОЗУ 16 Gb (2 слота DDR4 max 64 Gb) | Накопитель HDD 1000 Gb + SSD 512 Gb | nVidia GeForce RTX 2060 6 Gb GDDR6 | без DVD | USB 3.1 Type-C | Клавиатура с RGB подсветкой"
Ноутбук MSI GE62VR-6RF Apache Pro (GE62VR6RF-098PL);42 488 грн;"Экран 15.6"" Full HD (1920x1080), матовый IPS | Intel Core i7-6700HQ (2.6 - 3.5 GHz), 4 Ядра | ОЗУ 8 Gb (2 слота DDR4 max 32 Gb) | Накопитель HDD 1000 Gb + SSD 128 Gb | nVidia GeForce GTX 1060 3 Gb GDDR5 | Оптический привод DVD | USB 3.1 Type-C | Клав"
